Company Name,CityU URL
3D printing low-carbon ecological concrete,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/3d-printing-low-carbon-ecological-concrete
5th Immersiv,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/5th-immersiv
6J Biotechnology (Hong Kong) Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/6j-biotechnology
A-TCMS (Autonomous Tire Condition Monitoring System),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a-tcms
A.I. Ambassador (Virtual Receptionist) kiosk solution,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-ambassador
A3-ml Ltd,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/a3-ml
ABCDYi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/abcdyi
Accessible Vision,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accessible-vision
Accucision,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/accucision
Aeroponics King,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aeroponics-king
AESIR Institute Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aesir
Aestrio,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aestrio
AFJ – TutorGPT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/afj-tutorgpt
Aflame E-SOC,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aflame-e-soc
AI Doodle,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-doodle
AI Guided Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-guided-limited
AI Mnemonic,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-mnemonic
AI Motion Logistics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/ai-motion-logistics-limited
AI Pet Tailor,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-pet-tailor
AI+Web3 – Demand Abstraction Crypto Wallet Based on AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aiweb3-demand-abstraction-crypto-wallet-based-ai
AI-based strategy to predict vascular biological age and disease risks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-based-strategy-to-predict-vascular-biological-age-and-disease-risks
AI-Driven Insurtech Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-driven-insurtech-platform
AI-Learn – AI-sen-sei,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-learn-ai-sen-sei
AI-SMS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-sms
AI-Tech Robot Arm,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai-tech-robot-arm
AI2Farm,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ai2farm
AIMSec: AI-powered Mobile Security,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aimsec
AiR World Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/air-world-limited
Airgie – Next Generation Air Monitoring,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/airgie-next-generation-air-monitoring
AIRmotion,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/airmotion
AirTech IoT Limited,https://www.cityu.edu.hk/hktech300/start-ups/airtech-iot-limited
AISG Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aisg-group
ALAM,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alam
Albacastor Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/albacastor-technology-limited
Alcarbo Technologies Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/alcarbo-technologies
AlephWill Studio Limited – Rehab-Admin System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alephwill-studio-limitted
Alfred24,https://www.cityu.edu.hk/hktech300/start-ups/alfred24
AlgaeBase,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algaebase
Algo.852,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algo852
AlgoGraph,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/algograph
Alpha AI Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/alphaaiauto
Alpha Eco,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alpha-eco
Alphabag,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphabag
AlphaESG,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/alphaesg
Alternative Treatment for Alzheimer’s Disease by Reducing Beta-amyloid Accumulation: a Small Molecule Approach,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/small-molecule-approach
AnalyticX,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/analyticx
Angel Pet – PETS & PAW,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/angel-pet-pets-paw
animo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/animo
AniTech Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/anitech
ANRim,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anrim
Anti-Allergy Food Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-allergy-food-club
Anti-Recruitment-Fraud Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-recruitment-fraud-bot
Aopu MMIC (HK) Technology Ltd,https://www.cityu.edu.hk/hktech300/start-ups/aopu-mmic-hk-technology-ltd
AptaTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aptatech
AquaCos,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aquacos
Aquatech Asia Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aquatech-asia-limited
ARBELE Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/arbele-limited
ArchiTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/architech
ARCS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arcs
AREIX Analytics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/areix
ArkalaFarmers,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arkalafarmers
Arogrena,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arogrena
Art Tech Bay,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/art-tech-bay
Artificial Intelligence - Safety Working Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/artificial-intelligence-safety-working-platform
Arvin – Speaking AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arvin
AR_DRAMA,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ar-drama
ASA Robotics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/asa-robotics-limited
Asia Digital Asset Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/asia-digital-asset-club
Askpire,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/askpire
ATEC Film Technologies Limited,https://www.cityu.edu.hk/hktech300/start-ups/atec-film-technologies-limited
Attitude sensing system for heavy machinery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attitude-sensing-system
Attofund,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attofund
AudioGeeks – MuGEN,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/audiogeeks-mugen
AuthBlock — Web3 Application Infrastructure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/authblock
Autofill Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/autofill-bot
Automatic battery thermal control system,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/automatic-battery-thermal-control-system
AWIL Group – All Walks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/awil-group-all-walks
BA-RHMS (Band-Aid Railway Health Monitoring System),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ba-rhms
BacMed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bacmed
Bag Plus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bag-plus
Ball PB,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ball-pb
BARK,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bark
Bee Prepared,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bee-prepared
Begain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/begain
Belun Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/beluntech
Bettery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bettery
BioInsight Innovations,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinsight-innovations
Bioinspired Topological Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinspired-topological-skin
Biolot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biolot
BioMetallica,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biometallica
BITHON,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bithon
BIY Smoothie Love,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biy-smoothie-love
Blockchain Credit Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blockchain-credit-platform
Blook,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blook
BNET-TECH Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/bnet-tech
Bookit,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bookit
Botanique,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/botanique
BOXS Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/boxs-limited
Boxtalk Media Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/boxtalk-media-limited
BridgeImpact,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bridgeimpact
BUCHA LIMITED – BUCHA KING,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bucha-limited-bucha-king
Bud Silver Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bud-silver-tech
BudsAlike,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/budsalike
